state,gender,legal,indigenous,date,count
1,1,2,1,2005/03/01,355
1,2,2,1,2005/03/01,51
1,1,3,1,2005/03/01,NA
1,2,3,1,2005/03/01,NA
1,1,4,1,2005/03/01,1240
1,2,4,1,2005/03/01,145
1,1,2,2,2005/03/01,1400
1,2,2,2,2005/03/01,124
1,1,3,2,2005/03/01,NA
1,2,3,2,2005/03/01,NA
1,1,4,2,2005/03/01,5062
1,2,4,2,2005/03/01,314
1,1,2,3,2005/03/01,217
1,2,2,3,2005/03/01,7
1,1,3,3,2005/03/01,NA
1,2,3,3,2005/03/01,NA
1,1,4,3,2005/03/01,94
1,2,4,3,2005/03/01,9
1,1,2,1,2005/06/01,351
1,2,2,1,2005/06/01,53
1,1,3,1,2005/06/01,NA
1,2,3,1,2005/06/01,NA
1,1,4,1,2005/06/01,1223
1,2,4,1,2005/06/01,135
1,1,2,2,2005/06/01,1369
1,2,2,2,2005/06/01,132
1,1,3,2,2005/06/01,NA
1,2,3,2,2005/06/01,NA
1,1,4,2,2005/06/01,5139
1,2,4,2,2005/06/01,315
1,1,2,3,2005/06/01,255
1,2,2,3,2005/06/01,6
1,1,3,3,2005/06/01,NA
1,2,3,3,2005/06/01,NA
1,1,4,3,2005/06/01,110
1,2,4,3,2005/06/01,11
1,1,2,1,2005/09/01,324
1,2,2,1,2005/09/01,53
1,1,3,1,2005/09/01,NA
1,2,3,1,2005/09/01,NA
1,1,4,1,2005/09/01,1249
1,2,4,1,2005/09/01,123
1,1,2,2,2005/09/01,1332
1,2,2,2,2005/09/01,128
1,1,3,2,2005/09/01,NA
1,2,3,2,2005/09/01,NA
1,1,4,2,2005/09/01,5212
1,2,4,2,2005/09/01,309
1,1,2,3,2005/09/01,188
1,2,2,3,2005/09/01,5
1,1,3,3,2005/09/01,NA
1,2,3,3,2005/09/01,NA
1,1,4,3,2005/09/01,79
1,2,4,3,2005/09/01,5
1,1,2,1,2005/12/01,334
1,2,2,1,2005/12/01,48
1,1,3,1,2005/12/01,NA
1,2,3,1,2005/12/01,NA
1,1,4,1,2005/12/01,1243
1,2,4,1,2005/12/01,129
1,1,2,2,2005/12/01,1389
1,2,2,2,2005/12/01,114
1,1,3,2,2005/12/01,NA
1,2,3,2,2005/12/01,NA
